Run,Strategy,DataType,BTCChange%,PortfolioChange%
26,SimpleMomentum,Normal,8.9892,0.0000
26,BollingerBands,Normal,8.9892,0.3841
26,SimpleMomentum,Noise3,9.8013,14.0476
26,BollingerBands,Noise3,9.8013,12.4077
26,SimpleMomentum,Noise6,-12.4729,15.3515
26,BollingerBands,Noise6,-12.4729,22.5388
27,SimpleMomentum,Normal,3.1878,0.6996
27,BollingerBands,Normal,3.1878,5.0368
27,SimpleMomentum,Noise3,3.0658,10.4745
27,BollingerBands,Noise3,3.0658,3.9864
27,SimpleMomentum,Noise6,4.4644,22.0775
27,BollingerBands,Noise6,4.4644,46.3488
28,SimpleMomentum,Normal,-0.0557,0.2310
28,BollingerBands,Normal,-0.0557,-0.0353
28,SimpleMomentum,Noise3,-3.3016,7.3782
28,BollingerBands,Noise3,-3.3016,20.0827
28,SimpleMomentum,Noise6,13.8774,24.0746
28,BollingerBands,Noise6,13.8774,13.5850
29,SimpleMomentum,Normal,2.6524,0.0000
29,BollingerBands,Normal,2.6524,3.0595
29,SimpleMomentum,Noise3,2.9239,9.9020
29,BollingerBands,Noise3,2.9239,0.0000
29,SimpleMomentum,Noise6,-3.9498,19.6612
29,BollingerBands,Noise6,-3.9498,72.5193
30,SimpleMomentum,Normal,-6.0642,0.0000
30,BollingerBands,Normal,-6.0642,-2.4149
30,SimpleMomentum,Noise3,-5.0284,7.5994
30,BollingerBands,Noise3,-5.0284,19.0616
30,SimpleMomentum,Noise6,0.5389,17.7935
30,BollingerBands,Noise6,0.5389,45.5147
31,SimpleMomentum,Normal,8.6178,0.0000
31,BollingerBands,Normal,8.6178,0.0151
31,SimpleMomentum,Noise3,6.1024,13.8163
31,BollingerBands,Noise3,6.1024,7.9230
31,SimpleMomentum,Noise6,4.5998,25.4600
31,BollingerBands,Noise6,4.5998,41.5521
32,SimpleMomentum,Normal,-8.5959,-1.4032
32,BollingerBands,Normal,-8.5959,-3.0543
32,SimpleMomentum,Noise3,-16.8162,3.7577
32,BollingerBands,Noise3,-16.8162,31.5424
32,SimpleMomentum,Noise6,-6.5309,15.8132
32,BollingerBands,Noise6,-6.5309,40.6792
33,SimpleMomentum,Normal,-1.1700,0.0203
33,BollingerBands,Normal,-1.1700,0.3417
33,SimpleMomentum,Noise3,0.3577,8.4566
33,BollingerBands,Noise3,0.3577,22.7842
33,SimpleMomentum,Noise6,-3.1533,14.0523
33,BollingerBands,Noise6,-3.1533,40.6792
34,SimpleMomentum,Normal,-1.5215,2.4328
34,BollingerBands,Normal,-1.5215,-4.2186
34,SimpleMomentum,Noise3,-0.7137,10.1993
34,BollingerBands,Noise3,-0.7137,44.7234
34,SimpleMomentum,Noise6,7.8250,21.1737
34,BollingerBands,Noise6,7.8250,46.0590
35,SimpleMomentum,Normal,0.1687,0.0731
35,BollingerBands,Normal,0.1687,0.1119
35,SimpleMomentum,Noise3,-3.8472,7.1029
35,BollingerBands,Noise3,-3.8472,13.0514
35,SimpleMomentum,Noise6,7.0170,19.4813
35,BollingerBands,Noise6,7.0170,26.9342
36,SimpleMomentum,Normal,0.7937,0.1206
36,BollingerBands,Normal,0.7937,0.1045
36,SimpleMomentum,Noise3,-0.7095,6.9803
36,BollingerBands,Noise3,-0.7095,0.0000
36,SimpleMomentum,Noise6,6.6795,16.0280
