Timestamp,SRD-BTC_USD
2025-04-28 21:02:01,94191.0005442799
2025-04-28 21:02:31,94191.0006236954
2025-04-28 21:03:01,94187.0004476640
2025-04-28 21:03:32,94187.0004047335
2025-04-28 21:04:02,94213.0007318127
2025-04-28 21:04:32,94213.0007941990
2025-04-28 21:05:02,94309.0004087128
2025-04-28 21:05:32,94309.0004814963
2025-04-28 21:06:02,94358.0003227580
2025-04-28 21:06:32,94358.0004398038
2025-04-28 21:07:03,94394.0006889574
2025-04-28 21:07:33,94394.0006829431
2025-04-28 21:08:03,94417.0003975288
2025-04-28 21:08:33,94417.0006665885
2025-04-28 21:09:03,94426.0001741601
2025-04-28 21:09:33,94426.0008690292
2025-04-28 21:10:03,94428.0004461834
2025-04-28 21:10:33,94428.0003305348
2025-04-28 21:11:03,94433.0005672790
2025-04-28 21:11:34,94433.0004811447
2025-04-28 21:12:04,94416.0005333062
2025-04-28 21:12:34,94416.0002981865
2025-04-28 21:13:04,94430.0008638395
2025-04-28 21:13:34,94430.0006514082
2025-04-28 21:14:04,94421.0002241349
2025-04-28 21:14:34,94421.0004805026
2025-04-28 21:15:04,94416.0005502778
2025-04-28 21:15:35,94416.0003787938
2025-04-28 21:16:05,94408.0004370337
2025-04-28 21:16:35,94408.0003404434
2025-04-28 21:17:05,94422.0003113257
2025-04-28 21:17:35,94422.0005125922
2025-04-28 21:18:05,94440.0005865212
2025-04-28 21:18:35,94440.0001172621
2025-04-28 21:19:06,94473.0006757710
2025-04-28 21:19:36,94473.0005793603
2025-04-28 21:20:06,94468.0002990961
2025-04-28 21:20:36,94468.0008705967
2025-04-28 21:21:06,94525.0004247314
2025-04-28 21:21:36,94525.0005531653
2025-04-28 21:22:06,94550.0007430879
2025-04-28 21:22:37,94550.0003712978
2025-04-28 21:23:07,94601.0002492072
2025-04-28 21:23:37,94601.0004784792
2025-04-28 21:24:07,94630.0007115558
2025-04-28 21:24:37,94630.0005875839
2025-04-28 21:25:07,94630.0005213364
2025-04-28 21:25:37,94655.0004096978
2025-04-28 21:26:08,94655.0007017603
2025-04-28 21:26:38,94700.0005075169
2025-04-28 21:27:08,94700.0002977562
2025-04-28 21:27:38,94711.0003228006
2025-04-28 21:28:08,94711.0005456131
2025-04-28 21:28:38,94709.0003650487
2025-04-28 21:29:08,94709.0004838575
2025-04-28 21:29:38,94707.0006842432
2025-04-28 21:30:08,94707.0005029793
2025-04-28 21:30:39,94710.0004183460
2025-04-28 21:31:09,94710.0002755982
2025-04-28 21:31:39,94715.0006404758
2025-04-28 21:32:09,94715.0007365806
2025-04-28 21:32:39,94713.0004478303
2025-04-28 21:33:09,94713.0005697840
2025-04-28 21:33:39,94711.0003295911
2025-04-28 21:34:09,94711.0007689703
2025-04-28 21:34:39,94747.0006802359
2025-04-28 21:35:09,94747.0004691245
2025-04-28 21:35:40,94758.0005166746
2025-04-28 21:36:10,94758.0004321758
2025-04-28 21:36:40,94755.0006949121
2025-04-28 21:37:10,94755.0004470068
2025-04-28 21:37:40,94761.0008304777
2025-04-28 21:38:10,94761.0004374964
2025-04-28 21:38:40,94766.0005615338
2025-04-28 21:39:10,94766.0003835882
2025-04-28 21:39:40,94776.0003798483
2025-04-28 21:40:10,94776.0005266381
2025-04-28 21:40:41,94811.0005472606
2025-04-28 21:41:11,94811.0004579372
2025-04-28 21:41:41,94822.0007590934
2025-04-28 21:42:11,94822.0006823606
2025-04-28 21:42:41,94829.0004901790
2025-04-28 21:43:11,94829.0003826723
2025-04-28 21:43:41,94832.0003404862
2025-04-28 21:44:11,94832.0004372837
2025-04-28 21:44:41,94856.0006096346
2025-04-28 21:45:11,94856.0004181799
2025-04-28 21:45:42,94859.0004005252
2025-04-28 21:46:12,94859.0007366161
2025-04-28 21:46:42,94878.0006307981
2025-04-28 21:47:12,94878.0012599176
2025-04-28 21:47:42,94884.0006535095
2025-04-28 21:48:12,94884.0004132090
2025-04-28 21:48:42,94880.0004666649
2025-04-28 21:49:12,94880.0006207250
2025-04-28 21:49:42,94875.0003556031
2025-04-28 21:50:13,94875.0007432262
2025-04-28 21:50:43,94857.0002266202
2025-04-28 21:51:13,94857.0006263255
2025-04-28 21:51:43,94857.0002072354
2025-04-28 21:52:13,94866.0006962241
